,,,GlideRC: BOM,,,,,,
,,,,,(INR),,(INR),,
,S.No,Product Name,Product Description,Link,Unit Price,Amount,Running Total,,Alternative URL
,1,2300kv Readytosky Brushless Motor (MT2204),Brushless Motor,https://robu.in/product/readytosky-mt2204-2300kv-cw-brushless-motor/,666,1,666,,
,2,EMAX BLHeli-20A ESC,Electronic Speed Controller,https://robu.in/product/emax-blheli-20a-esc/,745,1,745,,
,3,2S 7.4V LiPo Battery,LiPo battery,https://genxbattery.com/shop/genx-7-4v-2s-650mah-25c-50c-premium-lipo-lithium-polymer-battery,953,1,953,,https://www.factoryforward.com/product/orange-600mah-2s-45c90c-74v-lithium-polymer-battery-pack-lipo/ 
,4,Pro-Range Propellers F5135 Floppy Proppy 2 Blade Propellers 2CW+2CCW - Yellow,Propeller (5135 size),https://robu.in/product/orange-hd-f5135-floppy-proppy-2-blade-propellers-2cw2ccw-yellow/,88,1,88,,
,5,Raspberry Pi Pico 2,Microcontroller,https://robu.in/product/raspberry-pi-pico-2/,544,1,544,,
,6,TowerPro SG92R Mini Servo Motor (180° Rotation),Servo,https://robu.in/product/towerpro-sg90-9g-mini-servo-9-gram-2/,158,2,316,,
,7,GY-91 MPU6500 + BMP280 7DOF IMU,IMU,https://robu.in/product/gy-91-mpu9250bmp280-10dof-acceleration-gyro-9-axis-sensor-module/,548,1,548,,
,8,Radiolink T8FB BT Remote 2.4GHz 8 Channels Bluetooth RC Remote Transmitter with Receiver R8EF,"Radio Transmitter, Receiver Combo",https://rees52.com/products/radiolink-t8fb-bt-remote-2-4ghz-8-channels-bluetooth-rc-remote-transmitter-with-receiver-r8ef-rs6050?variant=43607734911143,4405.87,1,4405.87,,
,9,"1k Ohm 0.25W,1/4W Metal Film Resistor",1k Ohm Resistor,https://robu.in/product/1k-ohm-0-25w-metal-film-resistor-pack-of-100/,0.6,17,10.2,Minimum needs to be above 10INR,
,10,10k Ohm 0.25W Metal Film Resistor,10k Ohm Resistor,https://robu.in/product/10k-ohm-0-25w-metal-film-resistor-pack-of-100/,0.61,17,10.37,Minimum needs to be above 10INR,
,,,,,,,,,
,,,,,,Total:,8286.44,,
